Provinsi,Kabupaten/Kota,2021,2022,2023
PROVINSI ACEH,Simeulue,5.71,6.0,5.85
,Aceh Singkil,8.36,6.88,6.84
,Aceh Selatan,6.46,4.82,4.73
,Aceh Tenggara,6.43,5.09,5.0
,Aceh Timur,7.13,8.07,8.03
,Aceh Tengah,2.61,4.44,4.42
,Aceh Barat,7.09,6.09,6.07
,Aceh Besar,7.7,8.28,8.17
,Pidie,7.28,5.94,5.92
,Bireuen,4.32,4.2,4.14
,Aceh Utara,8.31,7.08,7.07
,Aceh Barat Daya,4.04,4.12,4.08
,Gayo Lues,1.84,2.7,2.65
,Aceh Tamiang,5.87,7.38,7.21
,Nagan Raya,4.99,5.84,5.74
,Aceh Jaya,3.47,3.12,2.88
,Bener Meriah,1.24,2.61,2.45
,Pidie Jaya,3.57,4.4,4.34
,Banda Aceh,8.94,8.62,8.03
,Sabang,3.56,4.01,3.92
,Langsa,7.21,7.85,7.73
,Lhokseumawe,11.16,9.15,8.78
,Subulussalam,6.26,5.75,5.69
Sumatera Utara,Nias,3.12,2.81,2.31
,Mandailing Natal,6.12,7.64,7.45
,Tapanuli Selatan,4.0,3.65,3.49
,Tapanuli Tengah,7.24,7.97,7.81
,Tapanuli Utara,1.54,1.07,1.03
,Toba,0.83,1.39,1.3
,Labuhan Batu,5.66,6.9,5.99
,Asahan,6.39,6.26,6.12
,Simalungun,4.17,5.51,5.35
,Dairi,1.49,0.88,1.23
,Karo,1.95,2.71,2.63
,Deli Serdang,9.13,8.79,8.62
,Langkat,5.12,6.88,6.33
,Nias Selatan,3.91,3.69,3.48
,Humbang Hasundutan,1.94,0.42,0.84
,Pakpak Bharat,1.36,0.26,0.45
,Samosir,0.7,1.16,1.03
,Serdang Bedagai,3.93,4.98,4.97
,Batu Bara,6.62,6.21,5.88
,Padang Lawas Utara,3.19,4.31,4.42
,Padang Lawas,4.07,5.9,5.75
,Labuhanbatu Selatan,4.71,3.15,3.43
,Labuanbatu Utara,5.71,3.75,4.84
,Nias Utara,3.0,2.59,2.57
,Nias Barat,0.74,0.53,0.8
,Sibolga,8.72,7.05,6.79
,Tanjungbalai,6.59,4.62,4.47
,Pematangsiantar,11.0,9.36,8.62
,Tebing Tinggi,8.37,6.39,6.24
,Medan,10.81,8.89,8.67
,Binjai,7.86,6.36,6.1
,Padangsidimpuan,7.18,7.76,7.57
,Gunungsitoli,4.8,3.65,3.67
Sumatera Selatan,Ogan Komering Ulu,4.57,4.39,4.13
,Ogan Komering Ilir,3.01,3.75,3.23
,Muara Enim,5.03,4.12,3.92
,Lahat,3.6,4.02,3.41
,Musi Rawas,2.78,1.92,1.95
,Musi Banyuasin,3.99,4.4,2.58
,Banyuasin,3.84,3.39,3.35
,Ogan Komering Ulu Selatan,3.23,1.83,1.81
,Ogan Komering Ulu Timur,3.18,4.79,3.96
,Ogan Ilir,3.07,2.15,2.1
,Empat Lawang,2.41,3.59,3.09
,Penungkal Abab Lematang Ilir,3.61,4.31,3.99
,Musi Rawas Utara,6.72,5.29,5.11
,Palembang,10.11,8.2,7.49
,Prabumulih,5.86,5.25,5.05
,Pagar Alam,1.64,3.62,2.71
,Lubuk Linggau,6.27,5.94,5.64
Provinsi Sumatera Barat, Kepulauan Mentawai,2.79,1.39,1.33
, Pesisir Selatan,5.97,4.61,4.75
, Solok,4.67,5.89,4.99
, Sijunjung,3.57,4.87,4.71
, Tanah Datar,4.63,5.91,5.35
, Padang Pariaman,8.41,6.6,6.69
, Agam,5.06,4.93,4.96
, Lima Puluh Kota,2.25,3.72,3.95
, Pasaman,4.92,5.38,5.09
, Solok Selatan,4.84,3.71,2.57
, Dharmasraya,5.0,6.23,6.22
, Pasaman Barat,5.02,6.33,6.01
,Kota Padang,13.37,11.69,10.86
,Kota Solok,5.15,3.9,3.72
,Kota Sawahlunto,6.38,5.0,4.98
,Kota Padang Panjang,4.9,4.84,5.49
