Kabupaten/Kota,Tahun Terbaru,Cluster,Kategori
Simeulue,5.85,0,Rendah
Aceh Singkil,6.84,1,Tinggi
Aceh Selatan,4.73,0,Rendah
Aceh Tenggara,5.0,0,Rendah
Aceh Timur,8.03,1,Tinggi
Aceh Tengah,4.42,0,Rendah
Aceh Barat,6.07,0,Rendah
Aceh Besar,8.17,1,Tinggi
Pidie,5.92,0,Rendah
Bireuen,4.14,0,Rendah
Aceh Utara,7.07,1,Tinggi
Aceh Barat Daya,4.08,0,Rendah
Gayo Lues,2.65,2,Menengah
Aceh Tamiang,7.21,1,Tinggi
Nagan Raya,5.74,0,Rendah
Aceh Jaya,2.88,2,Menengah
Bener Meriah,2.45,2,Menengah
Pidie Jaya,4.34,0,Rendah
Kota Banda Aceh,8.03,1,Tinggi
Kota Sabang,3.92,0,Rendah
Kota Langsa,7.73,1,Tinggi
Kota Lhokseumawe,8.78,1,Tinggi
Kota Subulussalam,5.69,0,Rendah
Nias,2.31,2,Menengah
Mandailing Natal,7.45,1,Tinggi
Tapanuli Selatan,3.49,2,Menengah
Tapanuli Tengah,7.81,1,Tinggi
Tapanuli Utara,1.03,2,Menengah
Toba Samosir,1.3,2,Menengah
Labuhanbatu,5.99,0,Rendah
Asahan,6.12,0,Rendah
Simalungun,5.35,0,Rendah
Dairi,1.23,2,Menengah
Karo,2.63,2,Menengah
Deli Serdang,8.62,1,Tinggi
Langkat,6.33,0,Rendah
Nias Selatan,3.48,2,Menengah
Humbang Hasundutan,0.84,2,Menengah
Pakpak Bharat,0.45,2,Menengah
Samosir,1.03,2,Menengah
Serdang Bedagai,4.97,0,Rendah
Batu Bara,5.88,0,Rendah
Padang Lawas Utara,4.42,0,Rendah
Padang Lawas,5.75,0,Rendah
Labuhanbatu Selatan,3.43,2,Menengah
Labuhanbatu Utara,4.84,0,Rendah
Nias Utara,2.57,2,Menengah
Nias Barat,0.8,2,Menengah
Kota Sibolga,6.79,1,Tinggi
Kota Tanjung Balai,4.47,0,Rendah
Kota Pematangsiantar,8.62,1,Tinggi
Kota Tebing Tinggi,6.24,0,Rendah
Kota Medan,8.67,1,Tinggi
Kota Binjai,6.1,0,Rendah
Kota Padang Sidempuan,7.57,1,Tinggi
Kota Gunungsitoli,3.67,2,Menengah
Ogan Komering Ulu,4.13,0,Rendah
Ogan Komering Ilir,3.23,2,Menengah
Muara Enim,3.92,0,Rendah
Lahat,3.41,2,Menengah
Musi Rawas,1.95,2,Menengah
Musi Banyuasin,2.58,2,Menengah
Banyuasin,3.35,2,Menengah
Ogan Komering Ulu Selatan,1.81,2,Menengah
Ogan Komering Ulu Timur,3.96,0,Rendah
Ogan Ilir,2.1,2,Menengah
Empat Lawang,3.09,2,Menengah
Penungkal Abab Lematang Ilir,3.99,0,Rendah
Musi Rawas Utara,5.11,0,Rendah
Kota Palembang,7.49,1,Tinggi
Kota Prabumulih,5.05,0,Rendah
Kota Pagar Alam,2.71,2,Menengah
Kota Lubuk Linggau,5.64,0,Rendah
Kepulauan Mentawai,1.33,2,Menengah
Pesisir Selatan,4.75,0,Rendah
Solok,4.99,0,Rendah
Sijunjung,4.71,0,Rendah
Tanah Datar,5.35,0,Rendah
Padang Pariaman,6.69,1,Tinggi
Agam,4.96,0,Rendah
Lima Puluh Kota,3.95,0,Rendah
Pasaman,5.09,0,Rendah
Solok Selatan,2.57,2,Menengah
Dharmasraya,6.22,0,Rendah
Pasaman Barat,6.01,0,Rendah
Kota Padang,10.86,1,Tinggi
Kota Solok,3.72,2,Menengah
Kota Sawahlunto,4.98,0,Rendah
Kota Padang Panjang,5.49,0,Rendah
Kota Bukittinggi,4.99,0,Rendah
Kota Payakumbuh,4.84,0,Rendah
Kota Pariaman,5.68,0,Rendah
Bengkulu Selatan,3.56,2,Menengah
Rejang Lebong,2.94,2,Menengah
Bengkulu Utara,3.33,2,Menengah
Kaur,3.81,0,Rendah
Seluma,2.68,2,Menengah
Muko Muko,3.14,2,Menengah
Lebong,2.72,2,Menengah
Kepahiang,2.41,2,Menengah
Bengkulu Tengah,3.2,2,Menengah
Kota Bengkulu,5.04,0,Rendah
Kuantan Singingi,2.49,2,Menengah
Indragiri Hulu,2.47,2,Menengah
Indragiri Hilir,1.71,2,Menengah
Pelalawan,2.26,2,Menengah
Siak,5.82,0,Rendah
Kampar,3.38,2,Menengah
Rokan Hulu,3.45,2,Menengah
Bengkalis,7.09,1,Tinggi
Rokan Hilir,4.42,0,Rendah
Kepulauan Meranti,5.17,0,Rendah
Kota Pekanbaru,6.2,0,Rendah
Kota Dumai,5.15,0,Rendah
Karimun,6.02,0,Rendah
Bintan,5.43,0,Rendah
Natuna,4.05,0,Rendah
Lingga,3.52,2,Menengah
Kepulauan Anambas,2.55,2,Menengah
Kota Batam,8.14,1,Tinggi
Kota Tanjung Pinang,4.76,0,Rendah
Kerinci,2.48,2,Menengah
Merangin,4.35,0,Rendah
Sarolangun,5.09,0,Rendah
Batanghari,3.85,0,Rendah
Muaro Jambi,5.4,0,Rendah
Tanjung Jabung Timur,1.67,2,Menengah
Tanjung Jabung Barat,2.95,2,Menengah
Tebo,1.71,2,Menengah
Bungo,5.23,0,Rendah
Kota Jambi,8.27,1,Tinggi
Kota Sungai Penuh,3.8,0,Rendah
Lampung Barat,2.25,2,Menengah
Tanggamus,3.35,2,Menengah
Lampung Selatan,4.95,0,Rendah
Lampung Timur,3.09,2,Menengah
Lampung Tengah,3.25,2,Menengah
Lampung Utara,5.73,0,Rendah
Way Kanan,3.07,2,Menengah
Tulang Bawang,3.46,2,Menengah
Pesawaran,4.76,0,Rendah
Pringsewu,4.66,0,Rendah
Mesuji,2.46,2,Menengah
Tulang Bawang Barat,3.89,0,Rendah
Pesisir Barat,3.47,2,Menengah
Kota Bandar Lampung,7.43,1,Tinggi
Kota Metro,3.6,2,Menengah
Bangka,5.03,0,Rendah
Belitung,4.14,0,Rendah
Bangka Barat,4.77,0,Rendah
Bangka Tengah,3.88,0,Rendah
Bangka Selatan,4.84,0,Rendah
Belitung Timur,2.41,2,Menengah
Kota Pangkalpinang,5.76,0,Rendah
Sambas,5.04,0,Rendah
Bengkayang,2.92,2,Menengah
Landak,2.24,2,Menengah
Mempawah,7.33,1,Tinggi
Sanggau,3.86,0,Rendah
Ketapang,6.57,1,Tinggi
Sintang,2.92,2,Menengah
Kapuas Hulu,2.19,2,Menengah
Sekadau,2.29,2,Menengah
Melawi,2.46,2,Menengah
Kayong Utara,3.04,2,Menengah
Kubu Raya,6.76,1,Tinggi
Kota Pontianak,8.92,1,Tinggi
Kota Singkawang,8.51,1,Tinggi
Paser,4.72,0,Rendah
Kutai Barat,6.16,0,Rendah
Kutai Kartanegara,4.05,0,Rendah
Kutai Timur,5.93,0,Rendah
Berau,4.95,0,Rendah
Penajam Paser Utara,2.07,2,Menengah
Mahakam Ulu,2.09,2,Menengah
Kota Balikpapan,6.09,0,Rendah
Kota Samarinda,5.92,0,Rendah
Kota Bontang,7.74,1,Tinggi
Tanah Laut,3.58,2,Menengah
Kotabaru,6.08,0,Rendah
Banjar,2.73,2,Menengah
Barito Kuala,3.42,2,Menengah
Tapin,3.93,0,Rendah
Hulu Sungai Selatan,2.12,2,Menengah
Hulu Sungai Tengah,3.26,2,Menengah
Hulu Sungai Utara,3.85,0,Rendah
Tabalong,3.6,2,Menengah
Tanah Bumbu,6.56,1,Tinggi
Balangan,2.7,2,Menengah
Kota Banjarmasin,6.7,1,Tinggi
Kota Banjarbaru,5.01,0,Rendah
Barito Selatan,4.33,0,Rendah
Barito Timur,3.37,2,Menengah
Barito Utara,4.85,0,Rendah
Gunung Mas,3.24,2,Menengah
Kapuas,3.66,2,Menengah
Katingan,4.96,0,Rendah
Kotawaringin Barat,4.45,0,Rendah
Kotawaringin Timur,4.77,0,Rendah
Lamandau,3.32,2,Menengah
Murung Raya,2.75,2,Menengah
Palangka Raya,5.13,0,Rendah
Pulang Pisau,2.07,2,Menengah
Seruyan,3.61,2,Menengah
Sukamara,5.23,0,Rendah
Malinau,3.19,2,Menengah
Bulungan,4.54,0,Rendah
Tana Tidung,3.24,2,Menengah
Nunukan,2.69,2,Menengah
Kota Tarakan,5.25,0,Rendah
Pandeglang,9.05,1,Tinggi
Lebak,7.57,1,Tinggi
Tangerang,6.94,1,Tinggi
Serang,9.94,1,Tinggi
Kota Tangerang,6.76,1,Tinggi
Kota Cilegon,7.25,1,Tinggi
Kota Serang,7.45,1,Tinggi
Kota Tangerang Selatan,5.81,0,Rendah
Kepulauan Seribu,8.11,1,Tinggi
Jakarta Selatan,5.37,0,Rendah
Jakarta Timur,7.24,1,Tinggi
Jakarta Pusat,6.42,0,Rendah
Jakarta Barat,6.39,0,Rendah
Jakarta Utara,7.05,1,Tinggi
Bogor,8.47,1,Tinggi
Sukabumi,7.32,1,Tinggi
Cianjur,7.71,1,Tinggi
Bandung,6.52,1,Tinggi
Garut,7.33,1,Tinggi
Tasikmalaya,3.89,0,Rendah
Ciamis,3.52,2,Menengah
Kuningan,9.49,1,Tinggi
Cirebon,7.65,1,Tinggi
Majalengka,4.12,0,Rendah
Sumedang,6.94,1,Tinggi
Indramayu,6.46,1,Tinggi
Subang,7.65,1,Tinggi
Purwakarta,7.72,1,Tinggi
Karawang,8.95,1,Tinggi
Bekasi,8.87,1,Tinggi
Bandung Barat,8.11,1,Tinggi
Pangandaran,1.52,2,Menengah
Kota Bogor,9.39,1,Tinggi
Kota Sukabumi,8.53,1,Tinggi
Kota Bandung,8.83,1,Tinggi
Kota Cirebon,7.66,1,Tinggi
Kota Bekasi,7.9,1,Tinggi
Kota Depok,6.97,1,Tinggi
Kota Cimahi,10.52,1,Tinggi
Kota Tasikmalaya,6.55,1,Tinggi
Kota Banjar,5.43,0,Rendah
Cilacap,8.74,1,Tinggi
Banyumas,6.35,0,Rendah
Purbalingga,5.61,0,Rendah
Banjarnegara,6.26,0,Rendah
Kebumen,5.11,0,Rendah
Purworejo,4.02,0,Rendah
Wonosobo,4.95,0,Rendah
Magelang,4.42,0,Rendah
Boyolali,4.05,0,Rendah
Klaten,4.2,0,Rendah
Sukoharjo,3.4,2,Menengah
Wonogiri,1.92,2,Menengah
Karanganyar,4.35,0,Rendah
Sragen,3.87,0,Rendah
Grobogan,4.02,0,Rendah
Blora,3.1,2,Menengah
Rembang,2.6,2,Menengah
Pati,4.29,0,Rendah
Kudus,3.25,2,Menengah
Jepara,3.35,2,Menengah
Demak,5.38,0,Rendah
Semarang,4.05,0,Rendah
Temanggung,2.32,2,Menengah
Kendal,5.76,0,Rendah
Batang,6.06,0,Rendah
Pekalongan,3.25,2,Menengah
Pemalang,6.55,1,Tinggi
Tegal,8.6,1,Tinggi
Brebes,8.98,1,Tinggi
Kota Magelang,5.25,0,Rendah
Kota Surakarta,4.58,0,Rendah
Kota Salatiga,4.57,0,Rendah
Kota Semarang,5.99,0,Rendah
Kota Pekalongan,5.02,0,Rendah
Kota Tegal,6.05,0,Rendah
Kulon Progo,2.4,2,Menengah
Bantul,3.78,0,Rendah
Gunungkidul,2.09,2,Menengah
Sleman,4.47,0,Rendah
Kota Yogyakarta,6.07,0,Rendah
Pacitan,1.83,2,Menengah
Ponorogo,4.66,0,Rendah
Trenggalek,4.52,0,Rendah
Tulungagung,5.65,0,Rendah
Blitar,4.91,0,Rendah
Kediri,5.79,0,Rendah
Malang,5.7,0,Rendah
Lumajang,3.67,2,Menengah
Jember,4.01,0,Rendah
Banyuwangi,4.75,0,Rendah
Bondowoso,4.15,0,Rendah
Situbondo,3.27,2,Menengah
Probolinggo,3.24,2,Menengah
Pasuruan,5.48,0,Rendah
Sidoarjo,8.05,1,Tinggi
Mojokerto,4.67,0,Rendah
Jombang,4.66,0,Rendah
Nganjuk,4.68,0,Rendah
Madiun,5.14,0,Rendah
Magetan,4.16,0,Rendah
Ngawi,2.41,2,Menengah
Bojonegoro,4.63,0,Rendah
Tuban,4.4,0,Rendah
Lamongan,5.46,0,Rendah
Gresik,6.82,1,Tinggi
Bangkalan,6.18,0,Rendah
Sampang,2.72,2,Menengah
Pamekasan,1.74,2,Menengah
Sumenep,1.71,2,Menengah
Kota Kediri,4.06,0,Rendah
Kota Blitar,5.24,0,Rendah
Kota Malang,6.8,1,Tinggi
Kota Probolinggo,4.53,0,Rendah
Kota Pasuruan,5.64,0,Rendah
Kota Mojokerto,4.73,0,Rendah
Kota Madiun,5.85,0,Rendah
Kota Surabaya,6.76,1,Tinggi
Kota Batu,4.52,0,Rendah
Jembrana,2.52,2,Menengah
Tabanan,2.64,2,Menengah
Badung,2.72,2,Menengah
Gianyar,2.96,2,Menengah
Klungkung,1.29,2,Menengah
Bangli,0.75,2,Menengah
Karangasem,2.61,2,Menengah
Buleleng,3.6,2,Menengah
Kota Denpasar,2.85,2,Menengah
Sumba Barat,3.52,2,Menengah
Sumba Timur,2.21,2,Menengah
Kupang,3.22,2,Menengah
Timor Tengah Selatan,2.64,2,Menengah
Timor Tengah Utara,1.96,2,Menengah
Belu,5.45,0,Rendah
Alor,2.52,2,Menengah
Lembata,2.55,2,Menengah
Flores Timur,3.79,0,Rendah
Sikka,2.62,2,Menengah
Ende,2.59,2,Menengah
Ngada,4.0,0,Rendah
Manggarai,2.44,2,Menengah
Rote Ndao,3.65,2,Menengah
Manggarai Barat,4.42,0,Rendah
Sumba Tengah,1.89,2,Menengah
Sumba Barat Daya,2.08,2,Menengah
Nagekeo,3.54,2,Menengah
Manggarai Timur,1.63,2,Menengah
Sabu Raijua,4.06,0,Rendah
Malaka,3.06,2,Menengah
Kota Kupang,5.69,0,Rendah
Lombok Barat,3.12,2,Menengah
Lombok Tengah,2.78,2,Menengah
Lombok Timur,2.47,2,Menengah
Sumbawa,2.79,2,Menengah
Dompu,2.36,2,Menengah
Bima,2.15,2,Menengah
Sumbawa Barat,3.54,2,Menengah
Lombok Utara,1.4,2,Menengah
Kota Mataram,4.78,0,Rendah
Kota Bima,3.57,2,Menengah
Boalemo,2.86,2,Menengah
Bone Bolango,3.39,2,Menengah
Gorontalo,2.48,2,Menengah
Gorontalo Utara,2.77,2,Menengah
Pahuwato,3.46,2,Menengah
Kota Gorontalo,4.06,0,Rendah
Majene,2.64,2,Menengah
Polewali Mandar,1.95,2,Menengah
Mamasa,2.35,2,Menengah
Mamuju,2.99,2,Menengah
Pasangkayu,2.02,2,Menengah
Mamuju Tengah,1.83,2,Menengah
Banggai Kepulauan,1.56,2,Menengah
Banggai,3.12,2,Menengah
Morowali,2.84,2,Menengah
Poso,1.67,2,Menengah
Donggala,2.79,2,Menengah
Tolitoli,3.12,2,Menengah
Buol,3.14,2,Menengah
Parigi Moutong,2.11,2,Menengah
Tojo Una Una,2.83,2,Menengah
Sigi,2.6,2,Menengah
Banggai Laut,3.64,2,Menengah
Morowali Utara,2.23,2,Menengah
Kota Palu,5.65,0,Rendah
Bolaang Mongondow,4.61,0,Rendah
Minahasa,7.65,1,Tinggi
Kepulauan Sangihe,2.56,2,Menengah
Kepulauan Talaud,3.1,2,Menengah
Minahasa Selatan,4.98,0,Rendah
Minahasa Utara,7.17,1,Tinggi
Bolaang Mongondow Utara,4.48,0,Rendah
Kepulauan Siau Tagulandang Biaro,2.09,2,Menengah
Minahasa Tenggara,2.84,2,Menengah
Bolaang Mongondow Selatan,2.55,2,Menengah
Bolaang Mongondow Timur,5.35,0,Rendah
Kota Manado,8.85,1,Tinggi
Kota Bitung,7.82,1,Tinggi
Kota Tomohon,8.52,1,Tinggi
Kota Kotamobagu,6.34,0,Rendah
Buton,2.48,2,Menengah
Muna,3.27,2,Menengah
Konawe,3.09,2,Menengah
Kolaka,3.36,2,Menengah
Konawe Selatan,3.12,2,Menengah
Bombana,1.16,2,Menengah
Wakatobi,2.73,2,Menengah
Kolaka Utara,2.24,2,Menengah
Buton Utara,1.93,2,Menengah
Konawe Utara,2.76,2,Menengah
Kolaka Timur,2.18,2,Menengah
Konawe Kepulauan,1.59,2,Menengah
Muna Barat,2.22,2,Menengah
Buton Tengah,2.5,2,Menengah
Buton Selatan,4.33,0,Rendah
Kota Kendari,5.18,0,Rendah
Kota Baubau,4.17,0,Rendah
Kepulauan Selayar,1.98,2,Menengah
Bulukumba,1.31,2,Menengah
Bantaeng,3.71,2,Menengah
Jeneponto,2.13,2,Menengah
Takalar,3.58,2,Menengah
Gowa,3.43,2,Menengah
Sinjai,1.69,2,Menengah
Maros,3.64,2,Menengah
Pangkajene Kepulauan,5.05,0,Rendah
Barru,5.89,0,Rendah
Bone,2.88,2,Menengah
Soppeng,4.34,0,Rendah
Wajo,2.1,2,Menengah
Sidrap,3.29,2,Menengah
Pinrang,3.64,2,Menengah
Enrekang,1.53,2,Menengah
Luwu,3.7,2,Menengah
Tana Toraja,3.37,2,Menengah
Luwu Utara,2.63,2,Menengah
Luwu Timur,5.42,0,Rendah
Toraja Utara,2.6,2,Menengah
Kota Makassar,10.6,1,Tinggi
Kota Pare Pare,5.86,0,Rendah
Kota Palopo,7.81,1,Tinggi
Halmahera Barat,3.77,0,Rendah
Halmahera Tengah,3.95,0,Rendah
